username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2014-07-07 11:45;36;78;"# SocialMedia is not only effective for B2C; it's also invaluable for C2C # DigitalReimagination http://on.tcs.com/WinningDigital pic.twitter.com/gKaU80fPE2";;;# #;"486053314065203201";https://twitter.com/TCS/status/486053314065203201
;2014-07-07 09:12;6;4;"Digitally savvy consumers expect consistent # custexp across channels — @ Kmholm, TCS http://on.tcs.com/1mStlc3 # TCSDigitalpic.twitter.com/h7hQ8Fif5W";;@;# #;"486014889308090369";https://twitter.com/TCS/status/486014889308090369
;2014-07-06 11:11;5;0;"For brands first impressions are a make or break factor. Read about # CustomerExperience & # MomentofTruth http://on.tcs.com/1vmUCni # TCSDigital";;;# # #;"485682354724147200";https://twitter.com/TCS/status/485682354724147200
;2014-07-06 02:51;6;1;"Tweets peak as the Dutch coach's decision to bring Krul paid off - # NED win 4-3 on penalties vs # CRC! # SocialSoccerpic.twitter.com/x2kVGePFOW";;;# # #;"485556566783844352";https://twitter.com/TCS/status/485556566783844352
;2014-07-06 02:41;2;2;"Real-time: mixed sentiment trends for # NED and # CRC as they both go for the # NEDvsCRC penalties! # SocialSoccerpic.twitter.com/REmjpQtrKm";;;# # # #;"485554140005666817";https://twitter.com/TCS/status/485554140005666817
;2014-07-06 02:37;3;0;"Tweets spiking throughout # NEDvsCRC's extra-time w/ # NED & # CRC mentions! Download # SocialSoccer for twitter trends.pic.twitter.com/NYzMEyuzIY";;;# # # #;"485553041731375104";https://twitter.com/TCS/status/485553041731375104
;2014-07-06 02:03;1;0;"Robin Van Persie, Robben and Navas - tweets spiking in the last 15 mins of uncertainty in # NEDvsCRC QF! # SocialSoccerpic.twitter.com/6YtEn8UUYi";;;# #;"485544565277880320";https://twitter.com/TCS/status/485544565277880320
;2014-07-06 01:06;2;0;"# SocialSoccer heat-map: As the second half of # NEDvsCRC begins, tweets pour in from N/S America, Europe, ME & India!pic.twitter.com/LVB9IedKc3";;;# #;"485530283307843584";https://twitter.com/TCS/status/485530283307843584
;2014-07-06 00:49;0;0;"Half-time: # NED 0:0 # CRC, lots of mentions in the last 20 mins on twitter for both teams! D/L # SocialSoccer for more.pic.twitter.com/Q6iZ45x8Qt";;;# # #;"485525877527044097";https://twitter.com/TCS/status/485525877527044097
;2014-07-06 00:32;1;0;"Despite no goals in the first 30 mins, tweets have been spiking with every missed opportunity by # NED! # SocialSoccerpic.twitter.com/vGemwnFo76";;;# #;"485521522967080960";https://twitter.com/TCS/status/485521522967080960
;2014-07-06 00:19;0;0;"ICYMI: 52% predict # NED will win! We received a lot of mentions for # CRC. Who will win? Reply here: https://twitter.com/TCS_News/status/485353852619603968 … | # SocialSoccer";;;# # #;"485518397937950721";https://twitter.com/TCS/status/485518397937950721
;2014-07-06 00:06;2;2;"# NED may be the favourites but # CRC are not far behind w/ 41% support on twitter! Get insights w/ # SocialSoccer app.pic.twitter.com/vO95gf5oko";;;# # #;"485514958919045121";https://twitter.com/TCS/status/485514958919045121
;2014-07-05 22:34;1;2;"@anjuminated Thank you! And, you can follow @ TCS_SocSoc for more insights from the remaining matches. @pareidoliac13 @SansLonely @ adrianmozy";;@anjuminated @ @pareidoliac13 @SansLonely @;;"485491828662104064";https://twitter.com/TCS/status/485491828662104064
;2014-07-05 22:16;8;2;"Next: The Dutch play vs Costa Rica in # NEDvsCRC # QuarterFinals and 65% fans predict a win for # NED! D/L # SocialSoccerpic.twitter.com/229cbCr3fx";;;# # # #;"485487496587780097";https://twitter.com/TCS/status/485487496587780097
;2014-07-05 21:56;12;2;"Heavy tweeting from both South America & Europe as # ARG beat # BEL by 1-0 to advance to the Semi-finals! # SocialSoccerpic.twitter.com/15EoxecGcp";;;# # #;"485482300281339905";https://twitter.com/TCS/status/485482300281339905
;2014-07-05 21:43;0;0;"67% +ve sentiments for # ARG Gonzalo Higuain as he walks off the field in the 81st min. D/L # SocialSoccer for insightspic.twitter.com/mTgmk2oZ9m";;;# #;"485478998965616641";https://twitter.com/TCS/status/485478998965616641
;2014-07-05 21:09;0;0;"@ Sidventurous We are glad to hear that Siddhant! You can also follow @ TCS_SocSoc for more insights from # SocialSoccer app.";;@ @;#;"485470455524909056";https://twitter.com/TCS/status/485470455524909056
;2014-07-05 20:52;1;0;"Half-time: # ARG 1:0 # BEL. Take a look at both team's # WorldCup journey on # SocialSoccer app http://www.tcs.com/socialsoccer pic.twitter.com/onSRsufx01";;;# # # #;"485466301624643584";https://twitter.com/TCS/status/485466301624643584
;2014-07-05 20:35;8;3;"Current QF Sentiments: 58% positive about # ARG and 63% tweeting negative about # BEL. Get insights w/ # SocialSoccerpic.twitter.com/EqoTALFfSu";;;# # #;"485461947123376128";https://twitter.com/TCS/status/485461947123376128
;2014-07-05 20:14;4;0;"Early tweet spike after Higuain scores for # ARG in the 9th min vs # BEL! Download # SocialSoccer app for # ARGBEL trendspic.twitter.com/n5i4di8i65";;;# # # #;"485456742612881408";https://twitter.com/TCS/status/485456742612881408
;2014-07-05 20:12;3;1;"# ARG strike early w/ Gonzalo Higuain converting Messi's pass into a goal! D/L # SocialSoccer app for real-time trends.pic.twitter.com/qU7Hpi1Hjw";;;# #;"485456134740774912";https://twitter.com/TCS/status/485456134740774912
;2014-07-05 20:06;3;0;"Watching the # ARGvsBEL # QuarterFinals? Download # SocialSoccer app & follow @ TCS_SocSoc for real-time twitter insights http://www.tcs.com/socialsoccer";;@;# # #;"485454586308608000";https://twitter.com/TCS/status/485454586308608000
;2014-07-05 20:00;0;0;"Hear Spandan Mahapatra & Simon Pollard, TCS, discuss # DigitalReimagination of Industries, July 8 at # MSTRworld 2014 http://on.tcs.com/1o469E9";;;# #;"485453119938392064";https://twitter.com/TCS/status/485453119938392064
;2014-07-05 18:59;3;0;"71% fans +ve about Messi! Will we see # MessiMagic for the Albicelestes? D/L # SocialSoccer app for # ARGvsBEL trendspic.twitter.com/XLUcbL5Cdq";;;# # #;"485437932291899392";https://twitter.com/TCS/status/485437932291899392
;2014-07-05 18:54;1;0;"71% fans positive about # Messi! Will he show # MessiMagic? Download # SocialSoccer app for # ARGvsBEL player trends. https://cards.twitter.com/cards/qfdd8b/13c3 …";;;# # # #;"485436631705321472";https://twitter.com/TCS/status/485436631705321472
;2014-07-05 15:03;10;3;"Using # BigData beyond a co's 4 walls can provide competitive advantage http://on.tcs.com/WinningDigital # DigitalReimaginationpic.twitter.com/GUHV43yM7d";;;# #;"485378329843740672";https://twitter.com/TCS/status/485378329843740672
;2014-07-05 13:25;15;8;"52% fans predict # NED will win! What do you think? Download # SocialSoccer app for real-time # NEDvsCRC QF trends. https://cards.twitter.com/cards/qfdd8b/13c3 …";;;# # #;"485353852619603968";https://twitter.com/TCS/status/485353852619603968
;2014-07-05 13:25;22;17;"67% fans predict # ARG will win! What do you think? Download # SocialSoccer app for real-time # ARGvsBEL QF trends. https://cards.twitter.com/cards/qfdd8b/13c3 …";;;# # #;"485353653704740864";https://twitter.com/TCS/status/485353653704740864
;2014-07-05 02:04;2;1;"Till now: # GER and # BRA advance to the Semi-finals. Tune in tomorrow for the # ARGvsBEL & # NEDvsCRC QFs! # SocialSoccerpic.twitter.com/fyS7koq6Mu";;;# # # # #;"485182465649410048";https://twitter.com/TCS/status/485182465649410048
;2014-07-05 01:50;5;0;"With 53% +ve sentiments, David Luiz is the most popular player at this moment! D/L # SocialSoccer for # BRAvsCOL trendspic.twitter.com/iQirJkko9H";;;# #;"485178778734190592";https://twitter.com/TCS/status/485178778734190592
;2014-07-05 01:43;2;0;"Tweets spike w/ "GOAL!" as David Luiz scores & then # JamesRodriguez converts the penalty kick for # COL! # SocialSoccerpic.twitter.com/h8EFo0UyNA";;;# # #;"485177013083205634";https://twitter.com/TCS/status/485177013083205634
;2014-07-05 01:08;0;0;"Second half of # BRAvsCOL begins! More goals means more tweet peaks. Follow @ TCS_SocSoc & tell who will score next ?pic.twitter.com/xbnHw3Zqex";;@;#;"485168234040016897";https://twitter.com/TCS/status/485168234040016897
;2014-07-05 00:40;6;0;"Besides Latin America and Europe, # BRAvsCOL tweets coming in from fans across India & SE Asia too! # SocialSoccerpic.twitter.com/Ya4mDzSzVQ";;;# #;"485161244253368320";https://twitter.com/TCS/status/485161244253368320
;2014-07-05 00:34;1;0;"Score: 1-0 yet both # BRA & # COL enjoy equal support here. Download the # SocialSoccer app and predict the final score!pic.twitter.com/Kr86HkdkfW";;;# # #;"485159750254878720";https://twitter.com/TCS/status/485159750254878720
;2014-07-05 00:12;2;1;"Poor defence by # COL allows # BRA's Silva to convert an early corner into 1-0! D/L # SocialSoccer for real-time trends.pic.twitter.com/x4F08U3ObA";;;# # #;"485154239811817472";https://twitter.com/TCS/status/485154239811817472
;2014-07-04 22:53;3;0;"Fans have already started tweeting about # Neymar # BRA & # JamesRodriguez # COL! D/L # SocialSoccer for player trends.pic.twitter.com/2tVApQezF7";;;# # # # #;"485134257409380352";https://twitter.com/TCS/status/485134257409380352
;2014-07-04 22:35;1;0;"# CHI got the most mentions during # Roundof16! Who will in QFs? D/L # SocialSoccer for insights: http://www.tcs.com/socialsoccer pic.twitter.com/yh4H3vATb9";;;# # #;"485129750906548224";https://twitter.com/TCS/status/485129750906548224
;2014-07-04 22:27;1;3;"54% fans predict # BRA will win! What do you think? Download # SocialSoccer app for real-time # BRAvsCOL QF trends. https://cards.twitter.com/cards/qfdd8b/13c3 …";;;# # #;"485127892100055041";https://twitter.com/TCS/status/485127892100055041
;2014-07-04 22:26;7;9;"Equal support for # BRA & # COL! Will it be # Neymar vs # JamesRodríguez? Download # SocialSoccer for # BRAvsCOL trends https://cards.twitter.com/cards/qfdd8b/13c3 …";;;# # # # # #;"485127437768863744";https://twitter.com/TCS/status/485127437768863744
;2014-07-04 22:01;0;1;"# FRA crash out of the # WorldCup and so does their positive sentiments trend as # GER win by 1-0! D/L # SocialSoccer apppic.twitter.com/kFY57nwGMP";;;# # # #;"485121139820077056";https://twitter.com/TCS/status/485121139820077056
;2014-07-04 20:57;2;1;"After conceding a goal, # FRA are the top trending team at the moment followed by # COL and # GER! via # SocialSoccerpic.twitter.com/ZNw4lQpv9F";;;# # # #;"485105106598109184";https://twitter.com/TCS/status/485105106598109184
;2014-07-04 20:27;3;4;"Watching the # QuarterFinals? Sit back & download # SocialSoccer app to track your fav team, twitter trends & more! https://cards.twitter.com/cards/qfdd8b/13c3 …";;;# #;"485097669967106048";https://twitter.com/TCS/status/485097669967106048
;2014-07-04 20:23;1;0;"The first # QuarterFinals twitter spike courtesy Hummels, # GER who scores in the 13th min! Follow @ TCS_SocSoc for morepic.twitter.com/GW6dP1zrBF";;@;# #;"485096488431673346";https://twitter.com/TCS/status/485096488431673346
;2014-07-04 19:38;5;5;"42% fans predict # GER will win! What do you think? Download # SocialSoccer app for real-time # FRAvsGER QF trends. https://cards.twitter.com/cards/qfdd8b/13c3 …";;;# # #;"485085305691582464";https://twitter.com/TCS/status/485085305691582464
;2014-07-04 19:25;1;0;"# Neymar clocked 5X more mentions than # JamesRodriguez! D/L # SocialSoccer for # BRAvsCOL trends: http://www.tcs.com/socialsoccer pic.twitter.com/ljJp6kJJxJ";;;# # # #;"485081949455659008";https://twitter.com/TCS/status/485081949455659008
;2014-07-04 17:04;1;1;"Learn how # CustomerExperience mgmt can improve moments of truth & # customerloyalty http://on.tcs.com/1vmUCni # TCSDigitalpic.twitter.com/qOO2VorrzF";;;# # #;"485046462133198850";https://twitter.com/TCS/status/485046462133198850
;2014-07-04 13:53;2;2;"6 strategies for creating dynamic # custexp that customer-facing leadership should be discussing today. Are you? http://on.tcs.com/1qZQpZW";;;#;"484998306070675457";https://twitter.com/TCS/status/484998306070675457
;2014-07-04 09:42;2;3;"Empirical data shows customer segmentation positively impacts sales via targeted offers http://on.tcs.com/1q3WinT # TCSDigital # telecom # bigdata";;;# # #;"484935213873512449";https://twitter.com/TCS/status/484935213873512449
;2014-07-04 07:59;7;2;"Mobility is evolving beyond smartphones to wearable # digital devices. # DigitalReimagination http://on.tcs.com/WinningDigital pic.twitter.com/7hVOvqwJgY";;;# #;"484909267640537088";https://twitter.com/TCS/status/484909267640537088
;2014-07-03 21:37;3;0;"Customer-driven # supplychain segmentation can convert customers to advocates. Chris Gopal explains on @ SCBrain. http://on.tcs.com/1l9O0I0 # SCM";;@;# #;"484752817865773056";https://twitter.com/TCS/status/484752817865773056
;2014-07-03 21:36;1;1;"@ cristhm Have a great run Cristian! @ TataCompanies @ MarathonChicago # IxtlanDelRio";;@ @ @;#;"484752565066665986";https://twitter.com/TCS/status/484752565066665986
;2014-07-03 18:59;1;1;"Join us at @ MicroStrategy World 2014, Barcelona, July 7-10 at booth #102 to discuss # MicroStrategy capabilities. http://on.tcs.com/1o469E9";;@;#102 #;"484713152484216833";https://twitter.com/TCS/status/484713152484216833
;2014-07-03 14:10;2;2;"How can # MasterDataManagement transform your business? Watch the video to know more. http://on.tcs.com/1mWnlPv";;;#;"484640242071126016";https://twitter.com/TCS/status/484640242071126016
;2014-07-03 12:18;6;3;"What constitutes a winning # Omnichannel Pricing Strategy according to you?http://on.tcs.com/1o1cG2z # retailpic.twitter.com/LqRdyV5TYK";;;# #;"484612138338504705";https://twitter.com/TCS/status/484612138338504705
;2014-07-02 21:24;17;12;"Learn about the 'Digital Five Forces', and how they can help businesses. # DigitalReimagination http://on.tcs.com/WinningDigital pic.twitter.com/ZYUDOhgJpz";;;#;"484387140562722817";https://twitter.com/TCS/status/484387140562722817
;2014-07-02 17:08;5;3;"Telenor Norway selects TCS to modernize and simplify products, processes and related IT systems in the fixed area. http://on.tcs.com/1iWQB8U";;;;"484322705257136128";https://twitter.com/TCS/status/484322705257136128
;2014-07-02 15:07;6;3;"Infographic: What differentiates TCS from industry peers? Find out what @ IDC says http://on.tcs.com/IDC-application-testing …pic.twitter.com/KNTqmCQ9AU";;@;;"484292339410554880";https://twitter.com/TCS/status/484292339410554880
;2014-07-02 12:58;1;3;"Watch Srini Dampur, VP R&D, NEI, highlight how TCS’ global experience has helped speed up its # NPD process # PLM http://on.tcs.com/1rWyoZr";;;# #;"484259732153438208";https://twitter.com/TCS/status/484259732153438208
